# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cpu-cycles'
# Event count (approx.): 1777120
#
# Overhead  Command  Source Shared Object  Source Symbol                                                Target Symbol                                                Basic Block Cycles
# ........  .......  ....................  ...........................................................  ...........................................................  ..................
#
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_sendmsg_locked                                       [k] __check_object_size                                      -                 
     0.01%  wrk      [kernel.kallsyms]     [k] schedule                                                 [k] schedule                                                 -                 
     0.01%  wrk      wrk                   [.] delay_request                                            [.] usec_to_next_send                                        -                 
     0.01%  wrk      wrk                   [.] lj_alloc_realloc                                         [.] memcpy@plt                                               -                 
     0.01%  wrk      [kernel.kallsyms]     [k] pick_next_task_fair                                      [k] pick_next_task_fair                                      -                 
     0.01%  wrk      [kernel.kallsyms]     [k] vfs_write                                                [k] ksys_write                                               -                 
     0.01%  wrk      [kernel.kallsyms]     [k] process_backlog                                          [k] net_rx_action                                            -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __xfrm_decode_session                                    [k] ip_route_me_harder                                       -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_nf_pre_routing                                        [k] skb_pull_rcsum                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ip_vs_conn_put                                           [k] __ip_vs_conn_put_timer                                   -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_dnat_handler                                         [k] csum_partial                                             -                 
     0.01%  wrk      wrk                   [.] lua_getfield                                             [.] lj_str_new                                               -                 
     0.01%  wrk      [vdso]                [.] time                                                     [.] aeProcessEvents                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] dequeue_task_fair                                        [k] dequeue_entity                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] mod_timer                                                [k] calc_wheel_index                                         -                 
     0.01%  wrk      [kernel.kallsyms]     [k] perf_pmu_enable.part.0                                   [k] perf_pmu_sched_task                                      -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ksize                                                    [k] __alloc_skb                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ip_rcv_finish                                            [k] ip_rcv_finish_core.isra.0                                -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ip_route_me_harder                                       [k] xfrm_lookup                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                                 [k] process_backlog                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] nf_xfrm_me_harder                                        [k] nf_nat_ipv4_out                                          -                 
     0.01%  wrk      wrk                   [.] lj_cf_table_concat                                       [.] lj_BC_FUNCC                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] update_min_vruntime                                      [k] update_curr                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] dequeue_entity                                           [k] update_min_vruntime                                      -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __usecs_to_jiffies                                       [k] tcp_schedule_loss_probe                                  -                 
     0.01%  wrk      [kernel.kallsyms]     [k] sock_sendmsg                                             [k] sock_write_iter                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __skb_clone                                              [k] __copy_skb_header                                        -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __lock_text_start                                        [k] mod_timer                                                -                 
     0.01%  wrk      wrk                   [.] index2adr                                                [.] lua_getfield                                             -                 
     0.01%  wrk      wrk                   [.] rehashtab                                                [.] resizetab                                                -                 
     0.01%  wrk      libc-2.31.so          [.] __wcstof128_nan                                          [.] __wmemchr_sse2                                           -                 
     0.01%  wrk      [vdso]                [.] time                                                     [.] time                                                     -                 
     0.01%  wrk      [kernel.kallsyms]     [k] dequeue_entity                                           [k] update_curr                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __vfs_write                                              [k] vfs_write                                                -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ip_rcv_finish                                            [k] ip_rcv_finish                                            -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_schedule_loss_probe                                  [k] __usecs_to_jiffies                                       -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ip_route_me_harder                                       [k] nf_nat_ipv4_local_fn                                     -                 
     0.01%  wrk      [kernel.kallsyms]     [k] _raw_spin_unlock_bh                                      [k] nf_conntrack_tcp_packet                                  -                 
     0.01%  wrk      [kernel.kallsyms]     [k] _raw_spin_lock_irqsave                                   [k] lock_timer_base                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                                 [k] tcp_release_cb                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_nf_pre_routing                                        [k] skb_ext_add                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ip_vs_out                                                [k] ip_vs_local_reply4                                       -                 
     0.01%  wrk      libc-2.31.so          [.] wctob                                                    [.] mbsinit                                                  -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ksoftirqd_running                                        [k] do_softirq.part.0                                        -                 
     0.01%  wrk      [kernel.kallsyms]     [k] update_cfs_group                                         [k] dequeue_entity                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] aa_sk_perm                                               [k] aa_sk_perm                                               -                 
     0.01%  wrk      [kernel.kallsyms]     [k] copyout                                                  [k] copy_user_generic_string                                 -                 
     0.01%  wrk      [kernel.kallsyms]     [k] release_sock                                             [k] tcp_sendmsg                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_nf_pre_routing                                        [k] setup_pre_routing                                        -                 
     0.01%  wrk      libc-2.31.so          [.] __vfscanf_internal                                       [.] gen_exp                                                  -                 
     0.01%  wrk      [kernel.kallsyms]     [k] check_cfs_rq_runtime                                     [k] put_prev_entity                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] should_failslab                                          [k] kmem_cache_alloc                                         -                 
     0.01%  wrk      [kernel.kallsyms]     [k] should_failslab                                          [k] kmem_cache_alloc_node                                    -                 
     0.01%  wrk      [kernel.kallsyms]     [k] kmem_cache_free                                          [k] __slab_free                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] copyin                                                   [k] copy_user_generic_string                                 -                 
     0.01%  wrk      [kernel.kallsyms]     [k] skb_ext_add                                              [k] br_nf_pre_routing                                        -                 
     0.01%  wrk      [kernel.kallsyms]     [k] fib_validate_source                                      [k] ip_route_input_slow                                      -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                                 [k] nf_nat_ipv4_out                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_validate_ipv4.isra.0                                  [k] br_nf_pre_routing                                        -                 
     0.01%  wrk      wrk                   [k] delay_request                                            [k] aeCreateFileEvent                                        -                 
     0.01%  wrk      wrk                   [.] http_parser_execute                                      [.] http_should_keep_alive                                   -                 
     0.01%  wrk      wrk                   [.] lj_BC_ISEQV                                              [.] lj_BC_ISEQV                                              -                 
     0.01%  wrk      wrk                   [.] lj_tab_new                                               [.] lj_BC_TNEW                                               -                 
     0.01%  wrk      libc-2.31.so          [.] btowc                                                    [.] wctob                                                    -                 
     0.01%  wrk      [kernel.kallsyms]     [k] update_min_vruntime                                      [k] dequeue_entity                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ep_scan_ready_list.constprop.0                           [k] ep_poll                                                  -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __copy_skb_header                                        [k] __skb_clone                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __ip_select_ident                                        [k] siphash_3u32                                             -                 
     0.01%  wrk      [kernel.kallsyms]     [k] fib_validate_source                                      [k] inet_lookup_ifaddr_rcu                                   -                 
     0.01%  wrk      [kernel.kallsyms]     [k] nf_ct_seq_offset                                         [k] tcp_in_window                                            -                 
     0.01%  wrk      wrk                   [k] counts_index                                             [k] hdr_record_value                                         -                 
     0.01%  wrk      wrk                   [.] lj_BC_MOV                                                [.] lj_BC_ISEQV                                              -                 
     0.01%  wrk      libc-2.31.so          [.] __tzfile_compute                                         [.] lua_getfield                                             -                 
     0.01%  wrk      [kernel.kallsyms]     [k] dequeue_entity                                           [k] account_entity_dequeue                                   -                 
     0.01%  wrk      [kernel.kallsyms]     [k] dequeue_entity                                           [k] dequeue_task_fair                                        -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ktime_get_ts64                                           [k] ep_poll                                                  -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ep_poll                                                  [k] ep_scan_ready_list.constprop.0                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_recvmsg                                              [k] skb_copy_datagram_iter                                   -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_sendmsg                                              [k] inet_sendmsg                                             -                 
     0.01%  wrk      [kernel.kallsyms]     [k] _cond_resched                                            [k] aa_sk_perm                                               -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rbx                                 [k] br_forward_finish                                        -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_dnat_handler                                         [k] ip_vs_nat_xmit                                           -                 
     0.01%  wrk      wrk                   [.] socket_writeable                                         [.] aeCreateTimeEvent                                        -                 
     0.01%  wrk      wrk                   [.] lua_rawgeti                                              [.] index2adr                                                -                 
     0.01%  wrk      wrk                   [.] luaL_pushresult                                          [.] emptybuffer                                              -                 
     0.01%  wrk      wrk                   [.] newtab                                                   [.] lj_tab_new                                               -                 
     0.01%  wrk      [kernel.kallsyms]     [k] update_rq_clock                                          [k] __schedule                                               -                 
     0.01%  wrk      [kernel.kallsyms]     [k] kmem_cache_alloc_node                                    [k] should_failslab                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] new_sync_write                                           [k] __vfs_write                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __fdget_pos                                              [k] ksys_read                                                -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __pm_relax                                               [k] ep_scan_ready_list.constprop.0                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __pm_relax                                               [k] __pm_relax                                               -                 
     0.01%  wrk      [kernel.kallsyms]     [k] skb_clone_tx_timestamp                                   [k] skb_clone_tx_timestamp                                   -                 
     0.01%  wrk      [kernel.kallsyms]     [k] dst_cache_per_cpu_get.isra.0                             [k] dst_cache_per_cpu_get.isra.0                             -                 
     0.01%  wrk      [kernel.kallsyms]     [k] iptunnel_handle_offloads                                 [k] vxlan_build_skb                                          -                 
     0.01%  wrk      wrk                   [.] aeDeleteTimeEvent                                        [.] zfree                                                    -                 
     0.01%  wrk      wrk                   [.] zmalloc                                                  [.] malloc@plt                                               -                 
     0.01%  wrk      wrk                   [.] emptybuffer                                              [.] emptybuffer                                              -                 
     0.01%  wrk      wrk                   [.] luaL_pushresult                                          [.] lj_cf_table_concat                                       -                 
     0.01%  wrk      wrk                   [.] lj_tab_newkey                                            [.] lj_tab_setstr                                            -                 
     0.01%  wrk      wrk                   [.] resizetab                                                [.] lj_mem_realloc                                           -                 
     0.01%  wrk      libc-2.31.so          [.] wctob                                                    [.] __strncat_sse2_unaligned                                 -                 
     0.01%  wrk      [kernel.kallsyms]     [k] put_prev_entity                                          [k] put_prev_entity                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ep_scan_ready_list.constprop.0                           [k] mutex_lock                                               -                 
     0.01%  wrk      [kernel.kallsyms]     [k] netdev_core_pick_tx                                      [k] netdev_pick_tx                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_sendmsg_locked                                       [k] sk_page_frag_refill                                      -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_release_cb                                           [k] release_sock                                             -                 
     0.01%  wrk      [kernel.kallsyms]     [k] fdb_find_rcu                                             [k] memcmp                                                   -                 
     0.01%  wrk      wrk                   [.] luaL_addvalue                                            [.] lua_tolstring                                            -                 
     0.01%  wrk      wrk                   [.] lj_tab_free                                              [.] lj_alloc_f                                               -                 
     0.01%  wrk      libc-2.31.so          [.] mbrlen                                                   [.] wctob                                                    -                 
     0.01%  wrk      [kernel.kallsyms]     [k] dequeue_entity                                           [k] update_cfs_group                                         -                 
     0.01%  wrk      [kernel.kallsyms]     [k] dequeue_entity                                           [k] dequeue_entity                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] kmem_cache_alloc                                         [k] should_failslab                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] skb_copy_datagram_iter                                   [k] __skb_datagram_iter                                      -                 
     0.01%  wrk      [kernel.kallsyms]     [k] inet_sendmsg                                             [k] sock_sendmsg                                             -                 
     0.01%  wrk      [kernel.kallsyms]     [k] iptunnel_handle_offloads                                 [k] iptunnel_handle_offloads                                 -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_nf_post_routing                                       [k] br_nf_dev_queue_xmit                                     -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __br_forward                                             [k] nf_hook_slow                                             -                 
     0.01%  wrk      [kernel.kallsyms]     [k] nf_nat_ipv4_out                                          [k] nf_nat_ipv4_out                                          -                 
     0.01%  wrk      wrk                   [.] aeCreateTimeEvent                                        [.] zmalloc                                                  -                 
     0.01%  wrk      wrk                   [k] counts_index_for                                         [k] counts_index                                             -                 
     0.01%  wrk      wrk                   [.] emptybuffer                                              [.] lua_pushlstring                                          -                 
     0.01%  wrk      libpthread-2.31.so    [.] __read                                                   [.] __pthread_disable_asynccancel                            -                 
     0.01%  wrk      [kernel.kallsyms]     [k] account_entity_dequeue                                   [k] dequeue_entity                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] put_prev_entity                                          [k] check_cfs_rq_runtime                                     -                 
     0.01%  wrk      [kernel.kallsyms]     [k] put_prev_task_fair                                       [k] put_prev_entity                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __accumulate_pelt_segments                               [k] __update_load_avg_cfs_rq                                 -                 
     0.01%  wrk      [kernel.kallsyms]     [k] common_file_perm                                         [k] apparmor_file_permission                                 -                 
     0.01%  wrk      [kernel.kallsyms]     [k] skb_ext_add                                              [k] br_nf_forward_ip                                         -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __schedule                                               [k] deactivate_task                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                                 [k] sock_write_iter                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ip_vs_conn_put                                           [k] ip_vs_conn_put                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ip_vs_nat_xmit                                           [k] ip_send_check                                            -                 
     0.01%  wrk      wrk                   [.] index2adr                                                [.] lua_rawgeti                                              -                 
     0.01%  wrk      wrk                   [.] lj_alloc_malloc                                          [.] lj_alloc_realloc                                         -                 
     0.01%  wrk      wrk                   [.] lj_BC_UGET                                               [.] lj_BC_KSHORT                                             -                 
     0.01%  wrk      [kernel.kallsyms]     [k] clear_buddies                                            [k] dequeue_entity                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __update_load_avg_cfs_rq                                 [k] __accumulate_pelt_segments                               -                 
     0.01%  wrk      [kernel.kallsyms]     [k] kfree                                                    [k] kfree                                                    -                 
     0.01%  wrk      [kernel.kallsyms]     [k] kmem_cache_free                                          [k] __skb_ext_put                                            -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ep_scan_ready_list.constprop.0                           [k] mutex_unlock                                             -                 
     0.01%  wrk      [kernel.kallsyms]     [k] sock_write_iter                                          [k] new_sync_write                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] sock_read_iter                                           [k] sock_read_iter                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] skb_clone                                                [k] __skb_clone                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_write_xmit                                           [k] tcp_mtu_probe                                            -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_release_cb                                           [k] tcp_release_cb                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] mutex_unlock                                             [k] ep_scan_ready_list.constprop.0                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_in_window                                            [k] nf_conntrack_tcp_packet                                  -                 
     0.01%  wrk      [kernel.kallsyms]     [k] l4proto_manip_pkt                                        [k] nf_csum_update                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] veth_xmit                                                [k] skb_clone_tx_timestamp                                   -                 
     0.01%  wrk      wrk                   [.] gen_exp                                                  [.] log@plt                                                  -                 
     0.01%  wrk      wrk                   [.] lj_cf_table_concat                                       [.] luaL_addvalue                                            -                 
     0.01%  wrk      libc-2.31.so          [.] __vfwprintf_internal                                     [.] memalign_check                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __kmalloc_reserve.isra.0                                 [k] __kmalloc_reserve.isra.0                                 -                 
     0.01%  wrk      [kernel.kallsyms]     [k] skb_clone                                                [k] __tcp_transmit_skb                                       -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_sendmsg                                              [k] tcp_sendmsg_locked                                       -                 
     0.01%  wrk      [kernel.kallsyms]     [k] do_softirq_own_stack                                     [k] __softirqentry_text_start                                -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __softirqentry_text_start                                [k] do_softirq_own_stack                                     -                 
     0.01%  wrk      [kernel.kallsyms]     [k] nf_bridge_update_protocol                                [k] br_nf_dev_queue_xmit                                     -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_nf_dev_queue_xmit                                     [k] skb_push                                                 -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_nf_dev_queue_xmit                                     [k] __skb_ext_del                                            -                 
     0.01%  wrk      [kernel.kallsyms]     [k] setup_pre_routing                                        [k] br_nf_pre_routing                                        -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_dev_queue_push_xmit                                   [k] skb_push                                                 -                 
     0.01%  wrk      wrk                   [.] rand@plt                                                 [.] __vfscanf_internal                                       -                 
     0.01%  wrk      wrk                   [.] zfree                                                    [.] free@plt                                                 -                 
     0.01%  wrk      wrk                   [.] lj_BC_ITERN                                              [.] lj_BC_LEN                                                -                 
     0.01%  wrk      wrk                   [.] gc_onestep                                               [.] gc_mark                                                  -                 
     0.01%  wrk      libc-2.31.so          [.] __wmemchr_sse2                                           [.] http_parser_execute                                      -                 
     0.01%  wrk      [kernel.kallsyms]     [k] do_softirq.part.0                                        [k] __local_bh_enable_ip                                     -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __slab_free                                              [k] kmem_cache_free                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] new_sync_write                                           [k] iov_iter_init                                            -                 
     0.01%  wrk      [kernel.kallsyms]     [k] new_sync_write                                           [k] __x86_indirect_thunk_rax                                 -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __vfs_write                                              [k] new_sync_write                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __vfs_write                                              [k] __vfs_write                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] iov_iter_init                                            [k] new_sync_write                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] skb_push                                                 [k] br_nf_dev_queue_xmit                                     -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __alloc_skb                                              [k] __kmalloc_reserve.isra.0                                 -                 
     0.01%  wrk      [kernel.kallsyms]     [k] pskb_expand_head                                         [k] ksize                                                    -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ipv4_mtu                                                 [k] tcp_current_mss                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_wfree                                                [k] tcp_wfree                                                -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __tcp_transmit_skb                                       [k] tcp_update_skb_after_send                                -                 
     0.01%  wrk      [kernel.kallsyms]     [k] bictcp_cwnd_event                                        [k] bictcp_cwnd_event                                        -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_dev_xmit                                              [k] br_fdb_find_rcu                                          -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_handle_frame_finish                                   [k] br_allowed_ingress                                       -                 
     0.01%  wrk      [kernel.kallsyms]     [k] nf_nat_ipv4_out                                          [k] nf_nat_ipv4_fn                                           -                 
     0.01%  wrk      wrk                   [.] lj_cf_table_concat                                       [.] lua_rawgeti                                              -                 
     0.01%  wrk      [vdso]                [.] gettimeofday                                             [.] response_complete                                        -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __kmalloc_reserve.isra.0                                 [k] pskb_expand_head                                         -                 
     0.01%  wrk      [kernel.kallsyms]     [k] inet_proto_csum_replace4                                 [k] nf_csum_update                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_current_mss                                          [k] tcp_established_options                                  -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __x86_indirect_thunk_rax                                 [k] br_nf_forward_ip                                         -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_nf_dev_queue_xmit                                     [k] br_nf_post_routing                                       -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_dev_queue_push_xmit                                   [k] br_nf_dev_queue_xmit                                     -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ip_vs_in.part.0                                          [k] ip_vs_conn_in_get_proto                                  -                 
     0.01%  wrk      wrk                   [.] log@plt                                                  [.] __clog10f                                                -                 
     0.01%  wrk      wrk                   [k] socket_writeable                                         [k] aeCreateFileEvent                                        -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __skb_ext_del                                            [k] __skb_ext_put                                            -                 
     0.01%  wrk      [kernel.kallsyms]     [k] netdev_pick_tx                                           [k] netdev_core_pick_tx                                      -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_rcv_space_adjust                                     [k] tcp_rcv_space_adjust                                     -                 
     0.01%  wrk      [kernel.kallsyms]     [k] inet_lookup_ifaddr_rcu                                   [k] fib_validate_source                                      -                 
     0.01%  wrk      [kernel.kallsyms]     [k] nf_nat_ipv4_fn                                           [k] nf_nat_ipv4_out                                          -                 
     0.01%  wrk      wrk                   [k] round@plt                                                [k] __gammaf_r_finite@GLIBC_2.15                             -                 
     0.01%  wrk      wrk                   [.] lj_BC_JLOOP                                              [.] 0x00005653513bfc6f                                       -                 
     0.01%  wrk      libpthread-2.31.so    [.] __pthread_disable_asynccancel                            [.] __read                                                   -                 
     0.01%  wrk      libpthread-2.31.so    [.] __read                                                   [.] sock_read                                                -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __skb_clone                                              [k] skb_clone                                                -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ip_rcv_core.isra.0                                       [k] ip_rcv_core.isra.0                                       -                 
     0.01%  wrk      [kernel.kallsyms]     [k] sk_stream_alloc_skb                                      [k] tcp_sendmsg_locked                                       -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_sendmsg_locked                                       [k] skb_entail                                               -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __tcp_transmit_skb                                       [k] tcp_options_write                                        -                 
     0.01%  wrk      [kernel.kallsyms]     [k] do_softirq_own_stack                                     [k] do_softirq.part.0                                        -                 
     0.01%  wrk      [kernel.kallsyms]     [k] nf_ct_seq_offset                                         [k] nf_ct_seq_offset                                         -                 
     0.01%  wrk      [kernel.kallsyms]     [k] vxlan_build_skb                                          [k] vxlan_xmit_one                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ip_vs_nat_xmit                                           [k] ip_vs_update_conntrack                                   -                 
     0.01%  wrk      wrk                   [.] lj_BC_KSTR                                               [.] lj_BC_CAT                                                -                 
     0.01%  wrk      [kernel.kallsyms]     [k] aa_file_perm                                             [k] common_file_perm                                         -                 
     0.01%  wrk      [kernel.kallsyms]     [k] skb_ext_add                                              [k] kmem_cache_alloc                                         -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_stream_memory_free                                   [k] tcp_sendmsg_locked                                       -                 
     0.01%  wrk      wrk                   [.] lj_alloc_malloc                                          [.] lj_mem_newgco                                            -                 
     0.01%  wrk      wrk                   [.] lj_mem_newgco                                            [.] newtab                                                   -                 
     0.01%  wrk      [kernel.kallsyms]     [k] update_curr                                              [k] cpuacct_charge                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] dequeue_entity                                           [k] clear_buddies                                            -                 
     0.01%  wrk      [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath                         [k] native_queued_spin_lock_slowpath                         -                 
     0.01%  wrk      [kernel.kallsyms]     [k] common_file_perm                                         [k] common_file_perm                                         -                 
     0.01%  wrk      [kernel.kallsyms]     [k] common_file_perm                                         [k] aa_file_perm                                             -                 
     0.01%  wrk      [kernel.kallsyms]     [k] sk_page_frag_refill                                      [k] skb_page_frag_refill                                     -                 
     0.01%  wrk      [kernel.kallsyms]     [k] lock_sock_nested                                         [k] tcp_recvmsg                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_sendmsg_locked                                       [k] sk_stream_alloc_skb                                      -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_established_options                                  [k] tcp_established_options                                  -                 
     0.01%  wrk      [kernel.kallsyms]     [k] rb_erase                                                 [k] rb_erase                                                 -                 
     0.01%  wrk      [kernel.kallsyms]     [k] brnf_get_logical_dev                                     [k] setup_pre_routing                                        -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ip_vs_in.part.0                                          [k] ip_vs_conn_put                                           -                 
     0.01%  wrk      wrk                   [.] luaL_addvalue                                            [.] memcpy@plt                                               -                 
     0.01%  wrk      wrk                   [.] lj_vm_exit_handler                                       [.] lj_trace_exit                                            -                 
     0.01%  wrk      [kernel.kallsyms]     [k] __remove_hrtimer                                         [k] __remove_hrtimer                                         -                 
     0.01%  wrk      [kernel.kallsyms]     [k] kmem_cache_alloc_node                                    [k] __alloc_skb                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] fput                                                     [k] ksys_read                                                -                 
     0.01%  wrk      [kernel.kallsyms]     [k] ep_send_events_proc                                      [k] ep_scan_ready_list.constprop.0                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] lock_sock_nested                                         [k] tcp_sendmsg                                              -                 
     0.01%  wrk      [kernel.kallsyms]     [k] skb_release_all                                          [k] skb_release_head_state                                   -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_chrono_start                                         [k] skb_entail                                               -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_mtu_probe                                            [k] tcp_write_xmit                                           -                 
     0.01%  wrk      [kernel.kallsyms]     [k] tcp_write_xmit                                           [k] ktime_get                                                -                 
     0.01%  wrk      [kernel.kallsyms]     [k] br_allowed_ingress                                       [k] br_handle_frame_finish                                   -                 
