# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cpu-cycles'
# Event count (approx.): 1777120
#
# Overhead  Command  Source Shared Object  Source Symbol                                                Target Symbol                                                Basic Block Cycles
# ........  .......  ....................  ...........................................................  ...........................................................  ..................
#
     0.40%  wrk      wrk                   [.] lj_mem_realloc                                           [.] lj_alloc_f                                               -                 
     0.39%  wrk      wrk                   [.] lj_str_new                                               [.] lj_mem_realloc                                           -                 
     0.38%  wrk      libc-2.31.so          [.] __strncat_ssse3                                          [.] __strncat_ssse3                                          -                 
     0.34%  wrk      [kernel.kallsyms]     [k] nf_hook_slow                                             [k] nf_hook_slow                                             -                 
     0.29%  wrk      wrk                   [.] lj_BC_FUNCC                                              [.] lj_vm_returnc                                            -                 
     0.29%  wrk      wrk                   [.] lj_vm_returnc                                            [.] lj_BC_RET                                                -                 
     0.28%  wrk      [kernel.kallsyms]     [k] __netif_receive_skb_core                                 [k] __netif_receive_skb_core                                 -                 
     0.27%  wrk      wrk                   [.] lj_cf_math_random                                        [.] lj_BC_FUNCC                                              -                 
     0.27%  wrk      libc-2.31.so          [.] _nl_cleanup_time                                         [.] ntp_gettime                                              -                 
     0.26%  wrk      libc-2.31.so          [.] __vfprintf_internal                                      [.] __vfprintf_internal                                      -                 
     0.25%  wrk      wrk                   [.] lj_BC_RET                                                [.] lj_BC_TGETV                                              -                 
     0.25%  wrk      [JIT] tid 11249       [.] 0x00005653513bfff4                                       [.] 0x00005653513bff30                                       -                 
     0.25%  wrk      wrk                   [.] gc_mark                                                  [.] gc_mark                                                  -                 
     0.25%  wrk      [kernel.kallsyms]     [k] fib_table_lookup                                         [k] fib_table_lookup                                         -                 
     0.22%  wrk      [JIT] tid 11249       [.] 0x000056534e87fff4                                       [.] 0x000056534e87ff30                                       -                 
     0.22%  wrk      wrk                   [.] gc_onestep                                               [.] propagatemark                                            -                 
     0.21%  wrk      wrk                   [.] gettimeofday@plt                                         [.] gettimeofday                                             -                 
     0.20%  wrk      [kernel.kallsyms]     [k] nf_conntrack_in                                          [k] nf_conntrack_in                                          -                 
     0.20%  wrk      wrk                   [.] lj_BC_CAT                                                [.] lj_meta_cat                                              -                 
     0.20%  wrk      libc-2.31.so          [.] ntp_gettimex                                             [.] lj_str_new                                               -                 
     0.20%  wrk      wrk                   [.] rehashtab                                                [.] rehashtab                                                -                 
     0.20%  wrk      [kernel.kallsyms]     [k] __x64_sys_epoll_ctl                                      [k] __x64_sys_epoll_ctl                                      -                 
     0.20%  wrk      [kernel.kallsyms]     [.] fpregs_assert_state_consistent                           [.] fpregs_assert_state_consistent                           -                 
     0.19%  wrk      wrk                   [.] propagatemark                                            [.] lj_gc_step                                               -                 
     0.19%  wrk      wrk                   [.] lj_BC_TGETV                                              [.] lj_BC_CAT                                                -                 
     0.19%  wrk      [kernel.kallsyms]     [k] nf_hook_slow                                             [k] __x86_indirect_thunk_rax                                 -                 
     0.18%  wrk      [vdso]                [.] gettimeofday                                             [.] aeProcessEvents                                          -                 
     0.17%  wrk      [kernel.kallsyms]     [k] nf_ct_get_tuple                                          [k] nf_ct_get_tuple                                          -                 
     0.17%  wrk      [kernel.kallsyms]     [k] ipt_do_table                                             [k] ipt_do_table                                             -                 
     0.17%  wrk      [kernel.kallsyms]     [k] do_csum                                                  [k] do_csum                                                  -                 
     0.17%  wrk      wrk                   [.] aeProcessEvents                                          [.] gettimeofday@plt                                         -                 
     0.16%  wrk      [kernel.kallsyms]     [k] __dev_queue_xmit                                         [k] __dev_queue_xmit                                         -                 
     0.16%  wrk      libc-2.31.so          [.] ntp_gettimex                                             [.] lj_meta_cat                                              -                 
     0.16%  wrk      libc-2.31.so          [.] ntp_gettimex                                             [.] __opendirat                                              -                 
     0.15%  wrk      libc-2.31.so          [.] __opendirat                                              [.] lj_str_new                                               -                 
     0.15%  wrk      [kernel.kallsyms]     [k] psi_task_change                                          [k] psi_task_change                                          -                 
     0.15%  wrk      [kernel.kallsyms]     [k] syscall_return_via_sysret                                [k] syscall_return_via_sysret                                -                 
     0.15%  wrk      [kernel.kallsyms]     [k] vxlan_xmit_one                                           [k] vxlan_xmit_one                                           -                 
     0.14%  wrk      wrk                   [.] lj_cf_string_format                                      [.] lj_cf_string_format                                      -                 
     0.14%  wrk      [kernel.kallsyms]     [k] validate_xmit_skb                                        [k] validate_xmit_skb                                        -                 
     0.14%  wrk      [kernel.kallsyms]     [k] dev_hard_start_xmit                                      [k] dev_hard_start_xmit                                      -                 
     0.13%  wrk      [kernel.kallsyms]     [k] nf_conntrack_tcp_packet                                  [k] nf_conntrack_tcp_packet                                  -                 
     0.13%  wrk      wrk                   [.] luaL_addlstring                                          [.] luaL_addlstring                                          -                 
     0.12%  wrk      [kernel.kallsyms]     [k] ip_finish_output2                                        [k] ip_finish_output2                                        -                 
     0.12%  wrk      [kernel.kallsyms]     [k] tcp_in_window                                            [k] tcp_in_window                                            -                 
     0.12%  wrk      [kernel.kallsyms]     [k] ipv4_mtu                                                 [k] ipv4_mtu                                                 -                 
     0.12%  wrk      [kernel.kallsyms]     [k] ip_route_me_harder                                       [k] ip_route_me_harder                                       -                 
     0.12%  wrk      [kernel.kallsyms]     [k] tcp_recvmsg                                              [k] tcp_recvmsg                                              -                 
     0.12%  wrk      libc-2.31.so          [.] ntp_gettime                                              [.] lj_str_new                                               -                 
     0.11%  wrk      [kernel.kallsyms]     [k] __default_send_IPI_dest_field                            [k] __default_send_IPI_dest_field                            -                 
     0.11%  wrk      libc-2.31.so          [.] __vfwprintf_internal                                     [.] __vfprintf_internal                                      -                 
     0.11%  wrk      wrk                   [.] resizestack                                              [.] resizestack                                              -                 
     0.11%  wrk      libc-2.31.so          [.] __opendirat                                              [.] lj_meta_cat                                              -                 
     0.10%  wrk      libc-2.31.so          [.] __vfprintf_internal                                      [.] __vfwprintf_internal                                     -                 
     0.10%  wrk      [kernel.kallsyms]     [k] ip_vs_in.part.0                                          [k] ip_vs_in.part.0                                          -                 
     0.10%  wrk      [kernel.kallsyms]     [k] __kmalloc_node_track_caller                              [k] __kmalloc_node_track_caller                              -                 
     0.10%  wrk      [kernel.kallsyms]     [k] tcp_write_xmit                                           [k] tcp_write_xmit                                           -                 
     0.09%  wrk      wrk                   [.] aeDeleteTimeEvent                                        [.] aeDeleteTimeEvent                                        -                 
     0.09%  wrk      [kernel.kallsyms]     [k] __xfrm_decode_session                                    [k] __xfrm_decode_session                                    -                 
     0.09%  wrk      [kernel.kallsyms]     [k] ip_route_output_key_hash_rcu                             [k] ip_route_output_key_hash_rcu                             -                 
     0.09%  wrk      libc-2.31.so          [.] _nl_parse_alt_digit                                      [.] lj_str_new                                               -                 
     0.09%  wrk      [kernel.kallsyms]     [k] tcp_poll                                                 [k] tcp_poll                                                 -                 
     0.08%  wrk      [kernel.kallsyms]     [k] __nf_conntrack_find_get                                  [k] __nf_conntrack_find_get                                  -                 
     0.08%  wrk      [kernel.kallsyms]     [k] memcmp                                                   [k] memcmp                                                   -                 
     0.08%  wrk      [kernel.kallsyms]     [k] __local_bh_enable_ip                                     [k] __local_bh_enable_ip                                     -                 
     0.08%  wrk      [kernel.kallsyms]     [k] tcp_sendmsg_locked                                       [k] tcp_sendmsg_locked                                       -                 
     0.08%  wrk      libc-2.31.so          [k] __alloc_dir                                              [k] __alloc_dir                                              -                 
     0.08%  wrk      wrk                   [.] gc_mark_gcroot                                           [.] gc_mark_gcroot                                           -                 
     0.08%  wrk      [kernel.kallsyms]     [k] do_syscall_64                                            [k] entry_SYSCALL_64_after_hwframe                           -                 
     0.07%  wrk      [kernel.kallsyms]     [k] ip_route_input_slow                                      [k] ip_route_input_slow                                      -                 
     0.07%  wrk      [kernel.kallsyms]     [k] tcp_mt                                                   [k] tcp_mt                                                   -                 
     0.07%  wrk      [kernel.kallsyms]     [k] __ip_queue_xmit                                          [k] __ip_queue_xmit                                          -                 
     0.07%  wrk      [kernel.kallsyms]     [k] fpregs_assert_state_consistent                           [k] do_syscall_64                                            -                 
     0.07%  wrk      [kernel.kallsyms]     [.] do_syscall_64                                            [.] do_syscall_64                                            -                 
     0.07%  wrk      libc-2.31.so          [.] _nl_parse_alt_digit                                      [.] lj_meta_cat                                              -                 
     0.07%  wrk      [kernel.kallsyms]     [k] __tcp_transmit_skb                                       [k] __tcp_transmit_skb                                       -                 
