# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:ppp'
# Event count (approx.): 3789
#
# Overhead  Command       Source Shared Object  Source Symbol                                  Target Symbol                                  Basic Block Cycles
# ........  ............  ....................  .............................................  .............................................  ..................
#
     0.16%  redis-server  [kernel.kallsyms]     [k] do_task_stat                               [k] seq_put_decimal_ull                        6                 
     0.16%  redis-server  [kernel.kallsyms]     [k] do_task_stat                               [k] seq_put_decimal_ull                        3                 
     0.16%  redis-server  [kernel.kallsyms]     [.] do_task_stat                               [.] seq_put_decimal_ll                         4                 
     0.16%  redis-server  [kernel.kallsyms]     [k] _cond_resched                              [k] dput.part.26                               1                 
     0.16%  redis-server  [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore                [k] ep_poll                                    33                
     0.13%  redis-server  redis-server          [.] ustime                                     [.] activeExpireCycle                          1                 
     0.13%  redis-server  redis-server          [.] clientsCron                                [.] closeClientOnOutputBufferLimitReached      2                 
     0.13%  redis-server  redis-server          [k] cronUpdateMemoryStats                      [k] zmalloc_get_rss                            6                 
     0.13%  redis-server  redis-server          [.] sdsAllocPtr                                [.] getClientMemoryUsage                       2                 
     0.13%  redis-server  redis-server          [k] zmalloc_get_rss                            [k] sysconf@plt                                1                 
     0.13%  redis-server  redis-server          [.] zmalloc_get_allocator_info                 [.] je_mallctl                                 6                 
     0.13%  redis-server  redis-server          [.] getClientOutputBufferMemoryUsage           [.] getClientMemoryUsage                       3                 
     0.13%  redis-server  redis-server          [.] getClientMemoryUsage                       [.] sdsAllocPtr                                2                 
     0.13%  redis-server  redis-server          [.] closeClientOnOutputBufferLimitReached      [.] clientsCron                                5                 
     0.13%  redis-server  redis-server          [.] je_arena_stats_merge                       [.] pthread_mutex_trylock@plt                  11                
     0.13%  redis-server  redis-server          [.] ctl_lookup                                 [.] strlen@plt                                 20                
     0.13%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_compare                          5                 
     0.13%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_add                              20                
     0.13%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_add                              19                
     0.13%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_add                              18                
     0.13%  redis-server  redis-server          [.] ctl_arena_stats_sdmerge                    [.] je_nstime_add                              17                
     0.13%  redis-server  redis-server          [.] ctl_refresh                                [.] arenas_i_impl                              11                
     0.13%  redis-server  redis-server          [.] je_extents_nbytes_get                      [.] je_arena_stats_merge                       3                 
     0.13%  redis-server  redis-server          [.] je_extents_nbytes_get                      [.] je_arena_stats_merge                       2                 
     0.13%  redis-server  redis-server          [.] je_nstime_add                              [.] ctl_arena_stats_sdmerge                    6                 
     0.13%  redis-server  [vdso]                [.] __vdso_gettimeofday                        [.] ustime                                     18                
     0.13%  redis-server  [kernel.kallsyms]     [k] syscall_trace_enter                        [k] do_syscall_64                              16                
     0.13%  redis-server  [kernel.kallsyms]     [k] x86_pmu_enable                             [k] perf_pmu_sched_task                        7                 
