# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:ppp'
# Event count (approx.): 3789
#
# Overhead  Command       Source Shared Object  Source Symbol                                  Target Symbol                                  Basic Block Cycles
# ........  ............  ....................  .............................................  .............................................  ..................
#
     0.05%  redis-server  [kernel.kallsyms]     [k] fill_pud                                   [k] set_pte_vaddr                              8                 
     0.05%  redis-server  [kernel.kallsyms]     [k] __set_pte_vaddr                            [k] native_set_pte                             1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] __set_pte_vaddr                            [k] native_flush_tlb_one_user                  1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] __set_pte_vaddr                            [k] fill_pte                                   1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] set_pte_vaddr                              [k] fill_pud                                   4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] set_pte_vaddr                              [k] __set_pte_vaddr                            1                 
     0.05%  redis-server  [kernel.kallsyms]     [.] task_work_run                              [.] _cond_resched                              1                 
     0.05%  redis-server  [kernel.kallsyms]     [.] task_work_run                              [.] _raw_spin_lock_irq                         11                
     0.05%  redis-server  [kernel.kallsyms]     [k] override_creds                             [k] ovl_override_creds                         27                
     0.05%  redis-server  [kernel.kallsyms]     [.] finish_task_switch                         [.] __sched_text_start                         57                
     0.05%  redis-server  [kernel.kallsyms]     [.] update_rq_clock                            [.] update_blocked_averages                    2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] decay_load                                 [k] __update_load_avg_se.isra.38               6                 
     0.05%  redis-server  [kernel.kallsyms]     [k] decay_load                                 [k] update_blocked_averages                    25                
     0.05%  redis-server  [kernel.kallsyms]     [k] __update_load_avg_se.isra.38               [k] decay_load                                 2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] update_load_avg                            [k] decay_load                                 1                 
     0.05%  redis-server  [kernel.kallsyms]     [.] update_blocked_averages                    [.] update_rq_clock                            2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] dequeue_entity                             [k] update_load_avg                            1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] dequeue_entity                             [k] update_cfs_group                           2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] rcu_all_qs                                 [k] _cond_resched                              4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] nsec_to_clock_t                            [k] do_task_stat                               5                 
     0.05%  redis-server  [kernel.kallsyms]     [.] hrtimer_try_to_cancel                      [.] hrtimer_active                             30                
     0.05%  redis-server  [kernel.kallsyms]     [k] hrtimer_try_to_cancel                      [k] schedule_hrtimeout_range_clock             33                
     0.05%  redis-server  [kernel.kallsyms]     [.] hrtimer_try_to_cancel                      [.] schedule_hrtimeout_range_clock             6                 
     0.05%  redis-server  [kernel.kallsyms]     [k] ktime_get_ts64                             [k] select_estimate_accuracy                   20                
     0.05%  redis-server  [kernel.kallsyms]     [k] __cgroup_account_cputime                   [k] update_curr                                1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] __seccomp_filter                           [k] __secure_computing                         53                
     0.05%  redis-server  [kernel.kallsyms]     [k] __secure_computing                         [k] syscall_trace_enter                        6                 
     0.05%  redis-server  [kernel.kallsyms]     [k] __secure_computing                         [k] __seccomp_filter                           4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] perf_ctx_unlock                            [k] perf_pmu_sched_task                        14                
     0.05%  redis-server  [kernel.kallsyms]     [k] __perf_event_task_sched_in                 [k] finish_task_switch                         7                 
     0.05%  redis-server  [kernel.kallsyms]     [k] perf_output_sample                         [k] perf_output_copy                           14                
     0.05%  redis-server  [kernel.kallsyms]     [k] perf_output_sample                         [k] perf_output_copy                           4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] perf_output_copy                           [k] perf_output_sample                         7                 
     0.05%  redis-server  [kernel.kallsyms]     [k] kmem_cache_alloc                           [k] get_empty_filp                             4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] kmem_cache_alloc                           [k] _cond_resched                              6                 
     0.05%  redis-server  [kernel.kallsyms]     [k] memcg_kmem_get_cache                       [k] kmem_cache_alloc                           4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] memcg_kmem_get_cache                       [k] get_mem_cgroup_from_mm                     27                
     0.05%  redis-server  [kernel.kallsyms]     [k] memcg_kmem_put_cache                       [k] kmem_cache_alloc                           4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] memcg_kmem_put_cache                       [k] kmem_cache_alloc                           2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] filp_close                                 [k] dnotify_flush                              100               
     0.05%  redis-server  [kernel.kallsyms]     [k] sys_read                                   [k] vfs_read                                   45                
     0.05%  redis-server  [kernel.kallsyms]     [k] get_empty_filp                             [k] percpu_counter_add_batch                   2                 
     0.05%  redis-server  [kernel.kallsyms]     [.] __fput                                     [.] ____fput                                   2                 
     0.05%  redis-server  [kernel.kallsyms]     [.] __fput                                     [.] mntput                                     3                 
     0.05%  redis-server  [kernel.kallsyms]     [.] ____fput                                   [.] task_work_run                              1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] fput_many                                  [k] fput                                       237               
     0.05%  redis-server  [kernel.kallsyms]     [k] fput                                       [k] filp_close                                 2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] fput                                       [k] fput_many                                  86                
     0.05%  redis-server  [kernel.kallsyms]     [k] fput                                       [k] fput_many                                  52                
     0.05%  redis-server  [kernel.kallsyms]     [.] terminate_walk                             [.] path_openat                                9                 
     0.05%  redis-server  [kernel.kallsyms]     [k] generic_permission                         [k] in_group_p                                 3                 
     0.05%  redis-server  [kernel.kallsyms]     [k] generic_permission                         [k] __inode_permission                         46                
     0.05%  redis-server  [kernel.kallsyms]     [k] generic_permission                         [k] ovl_permission                             14                
     0.05%  redis-server  [kernel.kallsyms]     [k] generic_permission                         [k] ovl_permission                             3                 
     0.05%  redis-server  [kernel.kallsyms]     [k] __inode_permission                         [k] generic_permission                         14                
     0.05%  redis-server  [kernel.kallsyms]     [k] __inode_permission                         [k] security_inode_permission                  22                
     0.05%  redis-server  [kernel.kallsyms]     [k] __inode_permission                         [k] security_inode_permission                  9                 
     0.05%  redis-server  [kernel.kallsyms]     [k] inode_permission                           [k] __inode_permission                         16                
     0.05%  redis-server  [kernel.kallsyms]     [k] inode_permission                           [k] may_open                                   1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] inode_permission                           [k] ovl_permission                             1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] legitimize_path.isra.29                    [k] unlazy_walk                                3                 
     0.05%  redis-server  [kernel.kallsyms]     [k] legitimize_path.isra.29                    [k] unlazy_walk                                2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] legitimize_path.isra.29                    [k] __legitimize_mnt                           4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] unlazy_walk                                [k] legitimize_path.isra.29                    11                
     0.05%  redis-server  [kernel.kallsyms]     [k] unlazy_walk                                [k] legitimize_path.isra.29                    4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] unlazy_walk                                [k] link_path_walk                             4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] complete_walk                              [k] path_openat                                27                
     0.05%  redis-server  [kernel.kallsyms]     [k] lookup_fast                                [k] path_openat                                4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] walk_component                             [k] lookup_fast                                13                
     0.05%  redis-server  [kernel.kallsyms]     [k] path_openat                                [k] complete_walk                              44                
     0.05%  redis-server  [kernel.kallsyms]     [k] select_estimate_accuracy                   [k] set_normalized_timespec64                  5                 
     0.05%  redis-server  [kernel.kallsyms]     [k] select_estimate_accuracy                   [k] set_normalized_timespec64                  3                 
     0.05%  redis-server  [kernel.kallsyms]     [k] select_estimate_accuracy                   [k] ktime_get_ts64                             123               
     0.05%  redis-server  [kernel.kallsyms]     [.] dput.part.26                               [.] dput                                       19                
     0.05%  redis-server  [kernel.kallsyms]     [.] dput.part.26                               [.] dput                                       3                 
     0.05%  redis-server  [kernel.kallsyms]     [.] dput.part.26                               [.] __indirect_thunk_start                     78                
     0.05%  redis-server  [kernel.kallsyms]     [.] dput                                       [.] __fput                                     1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] dput                                       [k] path_openat                                1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] dput                                       [k] dput.part.26                               16                
     0.05%  redis-server  [kernel.kallsyms]     [k] __fdget_pos                                [k] sys_read                                   13                
     0.05%  redis-server  [kernel.kallsyms]     [k] __fdget_pos                                [k] __fget_light                               8                 
     0.05%  redis-server  [kernel.kallsyms]     [.] mntput_no_expire                           [.] mntput                                     23                
     0.05%  redis-server  [kernel.kallsyms]     [k] mntput_no_expire                           [k] mntput                                     12                
     0.05%  redis-server  [kernel.kallsyms]     [.] mntput                                     [.] __fput                                     1                 
     0.05%  redis-server  [kernel.kallsyms]     [.] mntput                                     [.] mntput_no_expire                           13                
     0.05%  redis-server  [kernel.kallsyms]     [k] single_release                             [k] kfree                                      1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] single_release                             [k] __fput                                     1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] do_task_stat                               33                
     0.05%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] do_task_stat                               8                 
     0.05%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] strlen                                     11                
     0.05%  redis-server  [kernel.kallsyms]     [.] seq_put_decimal_ull                        [.] num_to_str                                 23                
     0.05%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] num_to_str                                 20                
     0.05%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ull                        [k] num_to_str                                 18                
     0.05%  redis-server  [kernel.kallsyms]     [.] seq_put_decimal_ull                        [.] memcpy                                     24                
     0.05%  redis-server  [kernel.kallsyms]     [.] seq_put_decimal_ll                         [.] do_task_stat                               53                
     0.05%  redis-server  [kernel.kallsyms]     [.] seq_put_decimal_ll                         [.] do_task_stat                               11                
     0.05%  redis-server  [kernel.kallsyms]     [.] seq_put_decimal_ll                         [.] strlen                                     11                
     0.05%  redis-server  [kernel.kallsyms]     [k] seq_put_decimal_ll                         [k] memcpy                                     7                 
     0.05%  redis-server  [kernel.kallsyms]     [k] ep_poll                                    [k] sys_epoll_wait                             76                
     0.05%  redis-server  [kernel.kallsyms]     [k] ep_poll                                    [k] _raw_spin_unlock_irqrestore                117               
     0.05%  redis-server  [kernel.kallsyms]     [k] ep_poll                                    [k] _raw_spin_unlock_irqrestore                101               
     0.05%  redis-server  [kernel.kallsyms]     [k] sys_epoll_wait                             [k] ep_poll                                    47                
     0.05%  redis-server  [kernel.kallsyms]     [k] get_cached_acl_rcu                         [k] generic_permission                         2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] get_acl                                    [k] get_cached_acl                             4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] do_task_stat                               [k] nsec_to_clock_t                            2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] do_task_stat                               [k] seq_put_decimal_ull                        2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] security_inode_permission                  [k] __inode_permission                         12                
     0.05%  redis-server  [kernel.kallsyms]     [k] security_file_free                         [k] __indirect_thunk_start                     4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] security_file_alloc                        [k] kmem_cache_alloc                           3                 
     0.05%  redis-server  [kernel.kallsyms]     [.] find_next_bit                              [.] __next_timer_interrupt                     1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] percpu_counter_add_batch                   [k] get_empty_filp                             6                 
     0.05%  redis-server  [kernel.kallsyms]     [k] strlen                                     [k] seq_put_decimal_ll                         4                 
     0.05%  redis-server  [kernel.kallsyms]     [k] put_dec_full8                              [k] put_dec                                    25                
     0.05%  redis-server  [kernel.kallsyms]     [k] put_dec                                    [k] put_dec_full8                              9                 
     0.05%  redis-server  [kernel.kallsyms]     [k] num_to_str                                 [k] seq_put_decimal_ull                        52                
     0.05%  redis-server  [kernel.kallsyms]     [k] num_to_str                                 [k] put_dec                                    12                
     0.05%  redis-server  [kernel.kallsyms]     [k] num_to_str                                 [k] put_dec                                    8                 
     0.05%  redis-server  [kernel.kallsyms]     [k] memcpy_erms                                [k] perf_output_copy                           23                
     0.05%  redis-server  [kernel.kallsyms]     [.] memcpy_erms                                [.] seq_put_decimal_ull                        37                
     0.05%  redis-server  [kernel.kallsyms]     [k] memcpy_erms                                [k] seq_put_decimal_ull                        26                
     0.05%  redis-server  [kernel.kallsyms]     [k] memcpy_erms                                [k] seq_put_decimal_ull                        22                
     0.05%  redis-server  [kernel.kallsyms]     [.] memcpy_erms                                [.] seq_put_decimal_ll                         29                
     0.05%  redis-server  [kernel.kallsyms]     [k] memset_erms                                [k] kmem_cache_alloc                           30                
     0.05%  redis-server  [kernel.kallsyms]     [k] __sched_text_start                         [k] schedule                                   4                 
     0.05%  redis-server  [kernel.kallsyms]     [.] _cond_resched                              [.] task_work_run                              1                 
     0.05%  redis-server  [kernel.kallsyms]     [.] _cond_resched                              [.] rcu_all_qs                                 12                
     0.05%  redis-server  [kernel.kallsyms]     [k] _cond_resched                              [k] rcu_all_qs                                 3                 
     0.05%  redis-server  [kernel.kallsyms]     [k] schedule_hrtimeout_range                   [k] schedule_hrtimeout_range_clock             49                
     0.05%  redis-server  [kernel.kallsyms]     [k] _raw_spin_lock_irqsave                     [k] ep_poll                                    220               
     0.05%  redis-server  [kernel.kallsyms]     [k] _raw_spin_lock                             [k] __close_fd                                 29                
     0.05%  redis-server  [kernel.kallsyms]     [.] _raw_spin_lock_irq                         [.] task_work_run                              30                
     0.05%  redis-server  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe             [k] do_syscall_64                              77                
     0.05%  redis-server  [kernel.kallsyms]     [k] __indirect_thunk_start                     [k] sys_read                                   2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] __indirect_thunk_start                     [k] ____fput                                   9                 
     0.05%  redis-server  [kernel.kallsyms]     [.] __indirect_thunk_start                     [.] pid_delete_dentry                          11                
     0.05%  redis-server  [kernel.kallsyms]     [k] __indirect_thunk_start                     [k] apparmor_file_free_security                1                 
     0.05%  redis-server  [kernel.kallsyms]     [.] __indirect_thunk_start                     [.] __indirect_thunk_start                     5                 
     0.05%  redis-server  [kernel.kallsyms]     [k] __indirect_thunk_start                     [k] ovl_permission                             1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] ovl_override_creds                         [k] override_creds                             6                 
     0.05%  redis-server  [kernel.kallsyms]     [k] ovl_override_creds                         [k] ovl_permission                             1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] ovl_inode_upper                            [k] ovl_permission                             2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] ovl_permission                             [k] revert_creds                               1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] ovl_permission                             [k] generic_permission                         2                 
     0.05%  redis-server  [kernel.kallsyms]     [k] ovl_permission                             [k] __inode_permission                         3                 
     0.05%  redis-server  [kernel.kallsyms]     [k] ovl_permission                             [k] __inode_permission                         1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] ovl_permission                             [k] inode_permission                           1                 
     0.05%  redis-server  [kernel.kallsyms]     [k] ovl_permission                             [k] ovl_override_creds                         21                
     0.05%  redis-server  [kernel.kallsyms]     [k] ovl_get_acl                                [k] get_acl                                    2                 
     0.03%  redis-server  redis-server          [.] listRewind                                 [.] tlsProcessPendingData                      2                 
     0.03%  redis-server  redis-server          [.] listNext                                   [.] tlsProcessPendingData                      4                 
     0.03%  redis-server  redis-server          [.] listRotateTailToHead                       [.] clientsCron                                312               
     0.03%  redis-server  redis-server          [k] aeProcessEvents                            [k] epoll_wait@plt                             174               
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] aeMain                                     187               
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] beforeSleep                                74                
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] afterSleep                                 630               
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] afterSleep                                 624               
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] afterSleep                                 617               
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] afterSleep                                 380               
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] afterSleep                                 371               
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] serverCron                                 122               
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] serverCron                                 119               
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] serverCron                                 91                
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] getMonotonicUs_posix                       203               
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] getMonotonicUs_posix                       58                
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] getMonotonicUs_posix                       56                
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] getMonotonicUs_posix                       11                
     0.03%  redis-server  redis-server          [.] aeProcessEvents                            [.] getMonotonicUs_posix                       9                 
     0.03%  redis-server  redis-server          [.] aeMain                                     [.] aeProcessEvents                            231               
     0.03%  redis-server  redis-server          [.] dictSetResizeEnabled                       [.] serverCron                                 98                
     0.03%  redis-server  redis-server          [.] beforeSleep                                [.] aeSetDontWait                              3                 
     0.03%  redis-server  redis-server          [k] beforeSleep                                [k] aeProcessEvents                            3                 
     0.03%  redis-server  redis-server          [.] beforeSleep                                [.] zmalloc_used_memory                        24                
     0.03%  redis-server  redis-server          [.] beforeSleep                                [.] handleClientsWithPendingReadsUsingThreads  1                 
     0.03%  redis-server  redis-server          [k] beforeSleep                                [k] moduleCount                                8                 
     0.03%  redis-server  redis-server          [.] beforeSleep                                [.] tlsHasPendingData                          1                 
     0.03%  redis-server  redis-server          [.] beforeSleep                                [.] tlsProcessPendingData                      10                
     0.03%  redis-server  redis-server          [.] beforeSleep                                [.] handleBlockedClientsTimeout                95                
     0.03%  redis-server  redis-server          [.] afterSleep                                 [.] aeProcessEvents                            34                
     0.03%  redis-server  redis-server          [.] afterSleep                                 [.] moduleCount                                391               
     0.03%  redis-server  redis-server          [.] afterSleep                                 [.] moduleCount                                383               
     0.03%  redis-server  redis-server          [.] afterSleep                                 [.] moduleCount                                368               
     0.03%  redis-server  redis-server          [.] afterSleep                                 [.] moduleCount                                254               
     0.03%  redis-server  redis-server          [.] afterSleep                                 [.] moduleCount                                240               
     0.03%  redis-server  redis-server          [.] ustime                                     [.] gettimeofday@plt                           70                
     0.03%  redis-server  redis-server          [.] ustime                                     [.] gettimeofday@plt                           69                
     0.03%  redis-server  redis-server          [.] ustime                                     [.] gettimeofday@plt                           63                
     0.03%  redis-server  redis-server          [.] ustime                                     [.] gettimeofday@plt                           45                
     0.03%  redis-server  redis-server          [.] mstime                                     [.] gettimeofday@plt                           76                
     0.03%  redis-server  redis-server          [k] mstime                                     [k] gettimeofday@plt                           68                
     0.03%  redis-server  redis-server          [k] mstime                                     [k] gettimeofday@plt                           66                
     0.03%  redis-server  redis-server          [k] mstime                                     [k] gettimeofday@plt                           44                
     0.03%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              80                
     0.03%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              49                
     0.03%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              48                
     0.03%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              38                
     0.03%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              37                
     0.03%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              36                
     0.03%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              30                
     0.03%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              28                
     0.03%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              24                
     0.03%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              18                
     0.03%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              10                
     0.03%  redis-server  redis-server          [.] tryResizeHashTables                        [.] databasesCron                              7                 
     0.03%  redis-server  redis-server          [.] trackInstantaneousMetric                   [.] serverCron                                 89                
     0.03%  redis-server  redis-server          [.] trackInstantaneousMetric                   [.] serverCron                                 61                
     0.03%  redis-server  redis-server          [k] trackInstantaneousMetric                   [k] serverCron                                 56                
     0.03%  redis-server  redis-server          [.] trackInstantaneousMetric                   [.] serverCron                                 55                
     0.03%  redis-server  redis-server          [.] clientsCronResizeQueryBuffer               [.] clientsCron                                404               
     0.03%  redis-server  redis-server          [.] clientsCronResizeQueryBuffer               [.] clientsCron                                14                
     0.03%  redis-server  redis-server          [.] clientsCronResizeQueryBuffer               [.] clientsCron                                10                
     0.03%  redis-server  redis-server          [.] clientsCronResizeOutputBuffer              [.] clientsCron                                66                
     0.03%  redis-server  redis-server          [.] clientsCronResizeOutputBuffer              [.] clientsCron                                6                 
     0.03%  redis-server  redis-server          [.] clientsCronResizeOutputBuffer              [.] clientsCron                                5                 
     0.03%  redis-server  redis-server          [.] clientsCronTrackExpansiveClients           [.] clientsCron                                3                 
     0.03%  redis-server  redis-server          [.] clientsCronTrackExpansiveClients           [.] sdsZmallocSize                             6                 
     0.03%  redis-server  redis-server          [.] clientsCronTrackExpansiveClients           [.] getClientOutputBufferMemoryUsage           2                 
     0.03%  redis-server  redis-server          [.] updateClientMemoryUsage                    [.] clientsCron                                4                 
     0.03%  redis-server  redis-server          [.] updateClientMemUsageAndBucket              [.] clientsCron                                11                
     0.03%  redis-server  redis-server          [.] clientsCron                                [.] gettimeofday@plt                           55                
     0.03%  redis-server  redis-server          [.] clientsCron                                [.] gettimeofday@plt                           52                
     0.03%  redis-server  redis-server          [.] clientsCron                                [.] listRotateTailToHead                       15                
     0.03%  redis-server  redis-server          [.] clientsCron                                [.] listRotateTailToHead                       14                
     0.03%  redis-server  redis-server          [.] clientsCron                                [.] clientsCronResizeOutputBuffer              4                 
     0.03%  redis-server  redis-server          [.] clientsCron                                [.] clientsCronTrackExpansiveClients           2                 
     0.03%  redis-server  redis-server          [.] clientsCron                                [.] updateClientMemUsageAndBucket              1                 
     0.03%  redis-server  redis-server          [.] clientsCron                                [.] clientsCronHandleTimeout                   9                 
     0.03%  redis-server  redis-server          [.] databasesCron                              [.] tryResizeHashTables                        50                
     0.03%  redis-server  redis-server          [.] databasesCron                              [.] tryResizeHashTables                        22                
     0.03%  redis-server  redis-server          [.] databasesCron                              [.] serverCron                                 565               
     0.03%  redis-server  redis-server          [.] databasesCron                              [.] serverCron                                 562               
     0.03%  redis-server  redis-server          [.] databasesCron                              [.] serverCron                                 554               
     0.03%  redis-server  redis-server          [.] databasesCron                              [.] serverCron                                 544               
     0.03%  redis-server  redis-server          [.] databasesCron                              [.] activeExpireCycle                          44                
     0.03%  redis-server  redis-server          [.] databasesCron                              [.] activeExpireCycle                          34                
     0.03%  redis-server  redis-server          [.] databasesCron                              [.] activeExpireCycle                          32                
     0.03%  redis-server  redis-server          [.] databasesCron                              [.] activeExpireCycle                          11                
     0.03%  redis-server  redis-server          [.] databasesCron                              [.] activeDefragCycle                          1                 
     0.03%  redis-server  redis-server          [.] updateCachedTime                           [.] localtime_r@plt                            16                
     0.03%  redis-server  redis-server          [.] updateCachedTime                           [.] gettimeofday@plt                           57                
     0.03%  redis-server  redis-server          [.] updateCachedTime                           [.] serverCron                                 3                 
     0.03%  redis-server  redis-server          [.] cronUpdateMemoryStats                      [.] zmalloc_used_memory                        78                
     0.03%  redis-server  redis-server          [.] cronUpdateMemoryStats                      [.] zmalloc_used_memory                        74                
     0.03%  redis-server  redis-server          [.] cronUpdateMemoryStats                      [.] zmalloc_used_memory                        31                
     0.03%  redis-server  redis-server          [k] cronUpdateMemoryStats                      [k] zmalloc_used_memory                        7                 
     0.03%  redis-server  redis-server          [k] cronUpdateMemoryStats                      [k] zmalloc_used_memory                        4                 
     0.03%  redis-server  redis-server          [.] cronUpdateMemoryStats                      [.] zmalloc_used_memory                        3                 
     0.03%  redis-server  redis-server          [k] cronUpdateMemoryStats                      [k] zmalloc_used_memory                        2                 
     0.03%  redis-server  redis-server          [.] cronUpdateMemoryStats                      [.] zmalloc_used_memory                        1                 
     0.03%  redis-server  redis-server          [.] cronUpdateMemoryStats                      [.] zmalloc_get_allocator_info                 1                 
     0.03%  redis-server  redis-server          [.] propagatePendingCommands                   [.] activeExpireCycle                          239               
     0.03%  redis-server  redis-server          [.] propagatePendingCommands                   [.] activeExpireCycle                          232               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] dictSetResizeEnabled                       158               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] trackInstantaneousMetric                   135               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] clientsCron                                398               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] clientsCron                                396               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] updateCachedTime                           255               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] updateCachedTime                           241               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] updateCachedTime                           149               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] checkClientPauseTimeoutAndReturnIfPaused   129               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] stopThreadedIOIfNeeded                     228               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] ldbPendingChildren                         238               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] ldbPendingChildren                         223               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] ldbPendingChildren                         170               
     0.03%  redis-server  redis-server          [.] serverCron                                 [.] ldbPendingChildren                         110               
     0.03%  redis-server  redis-server          [.] sdsAllocPtr                                [.] sdsZmallocSize                             246               
     0.03%  redis-server  redis-server          [.] zmalloc_used_memory                        [.] beforeSleep                                20                
     0.03%  redis-server  redis-server          [k] zmalloc_used_memory                        [k] cronUpdateMemoryStats                      329               
     0.03%  redis-server  redis-server          [.] zmalloc_used_memory                        [.] cronUpdateMemoryStats                      328               
     0.03%  redis-server  redis-server          [k] zmalloc_used_memory                        [k] cronUpdateMemoryStats                      312               
     0.03%  redis-server  redis-server          [.] zmalloc_used_memory                        [.] cronUpdateMemoryStats                      196               
     0.03%  redis-server  redis-server          [k] zmalloc_used_memory                        [k] cronUpdateMemoryStats                      192               
     0.03%  redis-server  redis-server          [.] zmalloc_used_memory                        [.] cronUpdateMemoryStats                      97                
     0.03%  redis-server  redis-server          [.] zmalloc_used_memory                        [.] cronUpdateMemoryStats                      65                
     0.03%  redis-server  redis-server          [.] zmalloc_used_memory                        [.] cronUpdateMemoryStats                      63                
     0.03%  redis-server  redis-server          [.] zmalloc_used_memory                        [.] cronUpdateMemoryStats                      9                 
     0.03%  redis-server  redis-server          [.] zmalloc_used_memory                        [.] cronUpdateMemoryStats                      1                 
     0.03%  redis-server  redis-server          [.] get_proc_stat_ll                           [.] strtoll@plt                                10                
     0.03%  redis-server  redis-server          [.] get_proc_stat_ll                           [.] strchr@plt                                 56                
     0.03%  redis-server  redis-server          [.] get_proc_stat_ll                           [.] strchr@plt                                 10                
     0.03%  redis-server  redis-server          [k] get_proc_stat_ll                           [k] close@plt                                  40                
